Date;Time;Eur/MWh
06.03.2026;08:45 - 09:00;71,4
06.03.2026;09:00 - 09:15;151,92
06.03.2026;09:15 - 09:30;104,82
06.03.2026;09:30 - 09:45;55,05
06.03.2026;09:45 - 10:00;18,97
06.03.2026;10:00 - 10:15;135,48
06.03.2026;10:15 - 10:30;97,46
06.03.2026;10:30 - 10:45;100,13
06.03.2026;10:45 - 11:00;66,81
06.03.2026;11:00 - 11:15;1,37
06.03.2026;11:15 - 11:30;0,01
06.03.2026;11:30 - 11:45;0,01
06.03.2026;11:45 - 12:00;-1,99
06.03.2026;12:00 - 12:15;19,1
06.03.2026;12:15 - 12:30;8,84
06.03.2026;12:30 - 12:45;10,89
06.03.2026;12:45 - 13:00;13,98
06.03.2026;13:00 - 13:15;2,97
06.03.2026;13:15 - 13:30;8,31
06.03.2026;13:30 - 13:45;10,77
06.03.2026;13:45 - 14:00;17,27
06.03.2026;14:00 - 14:15;18,76
06.03.2026;14:15 - 14:30;48,1
06.03.2026;14:30 - 14:45;52,17
06.03.2026;14:45 - 15:00;71,37
06.03.2026;15:00 - 15:15;49,71
06.03.2026;15:15 - 15:30;77,45
06.03.2026;15:30 - 15:45;108,77
06.03.2026;15:45 - 16:00;138,07
06.03.2026;16:00 - 16:15;87,39
06.03.2026;16:15 - 16:30;125,63
06.03.2026;16:30 - 16:45;143,82
06.03.2026;16:45 - 17:00;179,09
06.03.2026;17:00 - 17:15;104,25
06.03.2026;17:15 - 17:30;137,25
06.03.2026;17:30 - 17:45;165,6
06.03.2026;17:45 - 18:00;206,92
06.03.2026;18:00 - 18:15;200,61
06.03.2026;18:15 - 18:30;219,39
06.03.2026;18:30 - 18:45;196,3
06.03.2026;18:45 - 19:00;188,73
06.03.2026;19:00 - 19:15;219,28
06.03.2026;19:15 - 19:30;178,55
06.03.2026;19:30 - 19:45;161,84
06.03.2026;19:45 - 20:00;154,89
06.03.2026;20:00 - 20:15;158,52
06.03.2026;20:15 - 20:30;149,61
06.03.2026;20:30 - 20:45;143,85
06.03.2026;20:45 - 21:00;123,96
06.03.2026;21:00 - 21:15;156,29
06.03.2026;21:15 - 21:30;145,77
06.03.2026;21:30 - 21:45;130,93
06.03.2026;21:45 - 22:00;117,12
06.03.2026;22:00 - 22:15;140,85
06.03.2026;22:15 - 22:30;131,35
06.03.2026;22:30 - 22:45;130,91
06.03.2026;22:45 - 23:00;122,25
06.03.2026;23:00 - 23:15;141,69
06.03.2026;23:15 - 23:30;131,96
06.03.2026;23:30 - 23:45;129,41
06.03.2026;23:45 - 00:00;121,66
